cve_id,project_name,project_language,affects_multiple,version_introduced,version_patched,cve_publish_date,cvss,project_severity_rating,patch_commit,patch_language,patch_path,patch_location,location_category,nvd_cwe,manual_label,subclass_label,nvd_override,memory_unsafety,primary_advisory,other_references,summary,additional_notes
CVE-2020-1971,OpenSSL,C,N,1.0.2,1.1.1i,12/8/2020,4.3; 5.9,High,https://github.com/openssl/openssl/commit/f960d81215ebf3f65e03d4d5d857fb9b666d6920,C,crypto/x509v3/v3_genn.c,X.509,X.509,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20201208.txt,-,"X.509 name comparison did not include adequate null checks for certain cases related to the EdiPartyName data field, causing a potential NULL pointer dereference. Patch commit introduces a new EDI name comparison function.",-
CVE-2020-1968,OpenSSL,C,Y,1.0.2,1.0.2w,9/9/2020,4.3; 3.7,Low,N/A,-,-,SSL,SSL,CWE-203: Observable Discrepancy,Cryptographic Issue,Protocol Attack,N,N,https://www.openssl.org/news/secadv/20200909.txt,-,"Raccoon attack based on a flaw in the TLS spec that can allow an attacker to pre-compute the master secret in Diffie-Hellman ciphersuites. This was an issue in the TLS spec, not OpenSSL's particular implementation.",No public patch commit (premium support).
CVE-2020-1967,OpenSSL,C,N,1.1.1d,1.1.1g,4/21/2020,5.0; 7.5,High,https://github.com/openssl/openssl/commit/eb563247aef3e83dda7679c43f9649270462e5b1,C,ssl/t1_lib.c,SSL,SSL,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20200421.txt,-,"Parsing of supported signature algorithms is missing a null check, causing a potential NULL pointer dereference when the signature algorithm in handshake input is invalid.",
CVE-2019-1551,OpenSSL,C,N,1.0.2,1.1.1e,12/6/2019,5.0; 5.3,Low,https://github.com/openssl/openssl/commit/419102400a2811582a7a3d4a4e317d72e5ce0a8f,Perl,crypto/bn/asm/rsaz-x86_64.pl,BN,-,CWE-190: Integer Overflow or Wraparound,Numeric Error,Integer Overflow,N,N,https://www.openssl.org/news/secadv/20191206.txt,-,Basic integer overflow bug in Montgomery squaring procedure.,-
CVE-2019-1549,OpenSSL,C,N,1.1.1,1.1.1d,9/10/2019,5.0; 5.3,Low,https://github.com/openssl/openssl/commit/1b0fe00e2704b5e20334a16d3c9099d1ba2ef1be,C, crypto/rand/drbg_lib.c,RNG,BigNum,CWE-330: Use of Insufficiently Random Values,Systems Issue,Thread Safety,Y,N,https://www.openssl.org/news/secadv/20190910.txt,-,"Thread-safety protection in RNG state was not enabled by default (and so multiple processes could potentially share the same RNG state and use the same ""random"" value). Patch commit involves a variety of parent/child thread-safety logic.",-
CVE-2019-1547,OpenSSL,C,N,1.0.2,1.1.1d,9/10/2019,1.9; 4.7,Low,https://github.com/openssl/openssl/commit/30c22fa8b1d840036b8e203585738df62a03cec8,C,crypto/ec/ec_lib.c,EC,Signature Algorithms,-,Side Channel,-,N/A,N,https://www.openssl.org/news/secadv/20190910.txt,https://browse.arxiv.org/pdf/1909.01785.pdf,"If an EC group is constructed using explicit parameters instead of a named curve, OpenSSL may fall back to a ECDSA signature operation vulnerable to side channels. Patch commit adds new side-channel-resistant EC group computations.",-
CVE-2019-1563,OpenSSL,C,N,1.0.2,1.1.1d,9/10/2019,4.3; 3.7,Low,https://github.com/openssl/openssl/commit/08229ad838c50f644d7e928e2eef147b4308ad64,C,crypto/cms/cms_env.c,CMS,Miscellaneous,CWE-203: Observable Discrepancy; CWE-327: Use of a Broken or Risky Cryptographic Algorithm,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20190910.txt,-,"OpenSSL's CMS (Cryptographic Message Syntax) implementation is vulnerable to a Bleichenbacher padding oracle, allowing an attacker to decrypt RSA ciphertexts.",-
CVE-2019-1552,OpenSSL,C,N,1.0.2,1.1.1d,7/30/2019,1.9; 3.3,Low,https://github.com/openssl/openssl/commit/54aa9d51b09d67e90db443f682cface795f5af9e,-,configurations/unix-Makefile.tmpl,-,-,CWE-295: Improper Certificate Validation,Systems Issue,File Overwrite,Y,N,https://www.openssl.org/news/secadv/20190730.txt,-,Configuration files can be located in writable sub-directory. Patch commit changes installation directory for mingw programs.,-
CVE-2019-1543,OpenSSL,C,N,1.1.0,1.1.1c,3/6/2019,5.8; 7.4,Low,https://github.com/openssl/openssl/commit/f426625b6ae9a7831010750490a5f0ad689c5ba3,C,crypto/evp/e_chacha20_poly1305.c,EVP -- ChaCha20-Poly1305,Miscellaneous,CWE-327: Use of a Broken or Risky Cryptographic Algorithm; CWE-330: Use of Insufficiently Random Values,Cryptographic Issue,Insufficient Randomness,N,N,https://www.openssl.org/news/secadv/20190306.txt,-,Incorrect implementation of nonce length calculation can lead to reuse/duplication of nonce values. Patch commit adds in an explicit maximum IV length.,"From project security advisory: ""RFC 7539 specifies that the nonce value (IV) should be 96 bits (12 bytes). OpenSSL allows a variable nonce length and front pads the nonce with 0 bytes if it is less than 12 bytes. However it also incorrectly allows a nonce to be set of up to 16 bytes."""
CVE-2019-1559,OpenSSL,C,N,1.0.2,1.0.2r,2/26/2019,4.3; 5.9,Moderate,https://github.com/openssl/openssl/commit/e9bbefbf0f24c57645e7ad6a5a71ae649d18ac8e,C,ssl/s3_pkt.c,SSL,SSL,CWE-203: Observable Discrepancy,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20190226.txt,-,Application behavior based error codes from SSL_shutdown logic on may cause a padding oracle attack.,-
CVE-2018-5407,OpenSSL,C,N,1.0.2,1.1.0i,11/15/2018,1.9; 4.7,Low,https://github.com/openssl/openssl/commit/aab7c770353b1dc4ba045938c8fb446dd1c4531e,C,crypto/ec/ec_mult.c,EC,Signature Algorithms,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor; CWE-203: Observable Discrepancy,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20181112.txt,https://eprint.iacr.org/2018/1060.pdf,ECC scalar multiplication is vulnerable to a microarchitecture timing side-channel attack.,-
CVE-2018-0734,OpenSSL,C,N,1.0.2,1.1.1a,10/30/2018,4.3; 5.9,Low,https://github.com/openssl/openssl/commit/43e6a58d4991a451daf4891ff05a48735df871ac,C,crypto/dsa/dsa_ossl.c,DSA,Signature Algorithms,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20181030.txt,-,DSA signature algorithm is vulnerable to a timing side-channel attack.,-
CVE-2018-0735,OpenSSL,C,N,1.1.0,1.1.1a,10/29/2018,4.3; 5.9,Low,https://github.com/openssl/openssl/commit/56fb454d281a023b3f950d969693553d3f3ceea1,C,crypto/ec/ec_mult.c,EC,Signature Algorithms,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20181029.txt,-,ECDSA signature algorithm is vulnerable to a timing side-channel attack.,-
CVE-2016-7056,OpenSSL,C,N,0.9.8,1.0.2,9/10/2018,2.1; 5.5,-,https://github.com/openssl/openssl/commit/8aed2a7548362e88e84a7feb795a3a97e8395008,C,crypto/ec/ec_lib.c,EC,Signature Algorithms,CWE-320: Key Management Errors; CWE-385: Covert Timing Channel,Side Channel,-,N (side channel),N,https://nvd.nist.gov/vuln/detail/CVE-2016-7056,https://eprint.iacr.org/2016/1195,"ECDSA is vulnerable to a cache timing attack. From the academic paper listed: ""The root cause of the defect is failure to set a flag in ECDSA signing nonces that indicates only constant-time code paths should be followed.""",Affected LibreSSL and BoringSSl as well.
CVE-2018-0732,OpenSSL,C,N,1.0.2,1.1.0i,6/12/2018,5.0; 7.5,Low,https://github.com/openssl/openssl/commit/3984ef0b72831da8b3ece4745cac4f8575b19098,C,crypto/dh/dh_key.c,Diffie-Hellman,Other Protocols,CWE-320: Key Management Errors,Cryptographic Issue,Parameter Validation,N,N,https://www.openssl.org/news/secadv/20180612.txt,-,A missing check during TLS handshake using a DH ciphersuite can cause a client to take in a very large prime and spend a long time generating keys.,-
CVE-2018-0737,OpenSSL,C,N,1.0.2,1.1.0i,4/16/2018,4.3; 5.9,Low,https://github.com/openssl/openssl/commit/349a41da1ad88ad87825414752a8ff5fdd6a6c3f,C,crypto/rsa/rsa_gen.c,RSA,Signature Algorithms,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,Side Channel,-,N (side channel),N,https://www.openssl.org/news/secadv/20180416.txt,-,RSA key generation is vulnerable to a cache timing side-channel attack. Patch commit added extra flags to ensure implementation is constant-time.,-
CVE-2018-0739,OpenSSL,C,N,1.0.2b,1.1.0h,3/27/2018,4.3; 6.5,Moderate,https://github.com/openssl/openssl/commit/9310d45087ae546e27e61ddf8f6367f29848220d,C,crypto/asn1/tasn_dec.c,ASN.1,X.509,CWE-674: Uncontrolled Recursion,Memory Management,Memory Exhaustion,N,N,https://www.openssl.org/news/secadv/20180327.txt,-,ASN.1 types can cause excessive recursion given malicious input. Patch commit limits the maximum number of recursive invocations of the ASN.1 function in question.,-
CVE-2018-0733,OpenSSL,C,N,1.1.0,1.1.0h,3/27/2018,4.3; 5.9,Moderate,https://github.com/openssl/openssl/commit/56d5a4bfcaf37fa420aef2bb881aa55e61cf5f2f,Perl,crypto/pariscid.pl,PA-RISC,-,-,Numeric Error,-,N/A,N,https://www.openssl.org/news/secadv/20180327.txt,-,Implementation typo in PA-RISC CRYPTO_memcmp function led to a comparison of least significant bits. Patch commit is a small fix to bit values.,-
CVE-2017-3738,OpenSSL,C,N,1.0.2,1.1.0h,12/7/2017,4.3; 5.9,Low,https://github.com/openssl/openssl/commit/e502cc86df9dafded1694fceb3228ee34d11c11a,Perl,crypto/bn/asm/rsaz-avx2.pl,BN,-,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,Numeric Error,Integer Overflow,N,N,https://www.openssl.org/news/secadv/20180327.txt,-,Integer overflow bug in Montgomery multiplication procedure.,-
CVE-2017-3737,OpenSSL,C,N,1.0.2b,1.0.2n,12/7/2017,4.3; 5.9,Moderate,https://github.com/openssl/openssl/commit/898fb884b706aaeb283de4812340bb0bde8476dc,C,ssl/ssl.h,SSL,SSL,CWE-125: Out-of-bounds Read; CWE-787: Out-of-bounds Write,Cryptographic Issue,TLS Implementation,Y,Y,https://www.openssl.org/news/secadv/20171207.txt,-,"Internal error state does not work correctly in certain scenarios (when SSL_read or SSL_write are called directly) and so it returns a fatal error. If SSL_read or SSL_write are called again (due to the application behaving incorrectly), this can cause a buffer overread/overwrite.",-
CVE-2016-8610,OpenSSL,C,N,0.9.8,1.0.2i,11/13/2017,5.0; 7.5,-,https://github.com/openssl/openssl/commit/af58be768ebb690f78530f796e92b8ae5c9a4401,C,Various,SSL,SSL,CWE-400: Uncontrolled Resource Consumption,Memory Management,Memory Exhaustion,N,N,https://nvd.nist.gov/vuln/detail/CVE-2016-8610,https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2016-8610,Ignoring too many warnings (ALERT packets) during TLS/SSL handshakes can lead to excess resource consumption and other errors. Patch commit introduces a limit on the number of consecutive warnings that can be ignored and aborts the connection once the limit is reached.,-
CVE-2017-3736,OpenSSL,C,N,1.0.2,1.1.0g,11/2/2017,4.0; 6.5,Moderate,https://github.com/openssl/openssl/commit/38d600147331d36e74174ebbd4008b63188b321b,Perl,crypto/bn/asm/x86_64-mont5.pl,BN/ASM,-,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,Numeric Error,Carry Propagation,N,N,https://www.openssl.org/news/secadv/20171102.txt,-,Carry propagating bug in the Montgomery squaring procedure.,-
CVE-2017-3735,OpenSSL,C,N,0.9.8e,1.0.2m,8/28/2017,5.0; 5.3,Low,https://github.com/openssl/openssl/commit/068b963bb7afc57f5bdd723de0dd15e7795d5822,C,crypto/x509v3/v3_addr.c,X.509,X.509,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20170828.txt,https://github.com/openssl/openssl/blame/22b52164aaed31d6e93dbd2d397ace041360e6aa/crypto/x509v3/v3_addr.c,Potential buffer overread given a malformed X.509 certificate.,-
CVE-2016-7055,OpenSSL,C,N,1.0.2,1.1.0c,5/4/2017,2.6; 5.9,Low,https://github.com/openssl/openssl/commit/57c4b9f6a2f800b41ce2836986fe33640f6c3f8a,Perl,crypto/bn/asm/x86_64-mont.pl,BN/ASM,-,-,Numeric Error,Carry Propagation,N/A,N,https://www.openssl.org/news/secadv/20161110.txt,-,Montgomery squaring procedure contains a carry propagating bug.,-
CVE-2017-3732,OpenSSL,C,N,1.0.2,1.1.0d,5/4/2017,4.3; 5.9,Moderate,https://github.com/openssl/openssl/commit/760d04342a495ee86bf5adc71a91d126af64397f,Perl,crypto/bn/asm/x86_64-mont5.pl,BN/ASM,-,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor,Numeric Error,Carry Propagation,Y,N,https://www.openssl.org/news/secadv/20170126.txt,-,Montgomery squaring procedure contains a carry propagating bug.,"""This issue is very similar to CVE-2015-3193 but must be treated as a separate problem."""
CVE-2016-7053,OpenSSL,C,N,1.1.0,1.1.0c,5/4/2017,5.0; 7.5,Moderate,https://github.com/openssl/openssl/commit/610b66267e41a32805ab54cbc580c5a6d5826cb4,C,crypto/asn1/tasn_dec.c,ASN.1,X.509,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20161110.txt,-,Missing check for ASN.1 parsing error can lead to a NULL pointer dereference for an invalid CMS structure.,-
CVE-2016-7054,OpenSSL,C,N,1.1.0,1.1.0c,5/4/2017,5.0; 7.5,High,https://github.com/openssl/openssl/commit/99d97842ddb5fbbbfb5e9820a64ebd19afe569f6,C,crypto/evp/e_chacha20_poly1305.c,EVP/ChaCha20-Poly1305,Miscellaneous,CWE-284: Improper Access Control,Memory Management,Buffer Overflow,Y,Y,https://www.openssl.org/news/secadv/20161110.txt,-,Incorrect memory offset calculation could cause a heap buffer overflow. Patch commit is a one-line fix to subtract plen from the memory offset.,-
CVE-2017-3731,OpenSSL,C,N,1.0.2,1.1.0d,5/4/2017,5.0; 7.5,Moderate,https://github.com/openssl/openssl/commit/51d009043670a627d6abe66894126851cf3690e9,C,crypto/evp/e_rc4_hmac_md5.c,EVP/RC4-MD5,Miscellaneous,CWE-125: Out-of-bounds Read,Memory Management,Buffer Overflow,N,Y,https://www.openssl.org/news/secadv/20170126.txt,-,A truncated packet can cause a buffer overread in ChaCha20-Poly1305. Patch commit checks packet length against MD5 digest length.,-
CVE-2017-3730,OpenSSL,C,N,1.1.0,1.1.0d,5/4/2017,5.0; 7.5,Moderate,https://github.com/openssl/openssl/commit/efbe126e3ebb9123ac9d058aa2bb044261342aaa,C,ssl/statem/statem_clnt.c,SSL,SSL,CWE-476: NULL Pointer Dereference,Memory Management,Null Dereference,N,Y,https://www.openssl.org/news/secadv/20170126.txt,-,Missing null check for maliciously crafted parameters in DHE/ECDHE key exchange.,-
CVE-2017-3733,OpenSSL,C,N,1.1.0,1.1.0e,5/4/2017,5.0; 7.5,High,https://github.com/openssl/openssl/commit/4ad93618d26a3ea23d36ad5498ff4f59eff3a4d2,C,ssl/record/ssl3_record.c,SSL,SSL,CWE-20: Improper Input Validation,Cryptographic Issue,TLS Implementation,Y,Y,https://www.openssl.org/news/secadv/20170216.txt,-,"Changing a flag (related to encrypt-then-mac) during a renegotiation handshake, instead of in the ChangeCipherSpec message, can cause a crash. Patch commit adds a few small logic adjustments so that it is no longer possible to change the flag until CCS.","""The problem is caused by changing the flag indicating whether to use ETM or not immediately on negotiation of ETM, rather than at CCS. Therefore, during a renegotiation, if the ETM state is changing (usually due to a change of ciphersuite), then an error/crash will occur."""
