0.9.7e, 10/25/2004
0.9.7d, 3/17/2004
0.9.7c, 9/30/2003
0.9.7b, 4/10/2003
0.9.7a, 2/19/2003
0.9.7, 12/31/2002
0.9.6m, 3/17/2004
0.9.6l, 11/4/2003
0.9.6k, 9/30/2003
0.9.6j, 4/10/2003
0.9.6i, 2/19/2003
0.9.6h, 12/5/2002
0.9.6g, 8/9/2002
0.9.6f, 8/8/2002
0.9.6e, 7/30/2002
0.9.6d, 5/9/2002
0.9.6c, 12/21/2001
0.9.6b, 7/9/2001
0.9.6a, 4/5/2001
0.9.6, 9/24/2000
0.9.5a, 4/1/2000
0.9.5, 2/28/2000
0.9.4, 8/9/1999
0.9.3a, 5/29/1999
0.9.3, 5/25/1999
0.9.2b, 3/22/1999
0.9.2, 3/22/1999
0.9.1c, 12/23/1998
0.9.1, 12/23/1998
0.9.0b, 4/10/1998
